impact_category,powertrain,year,vehicle_stage,size,value,impact_value,unit
freshwater eutrophication,BEV,2024,energy storage,Small,0,4.710309726336777,kg P-Eq.
freshwater eutrophication,BEV,2024,energy chain,Small,0,2.291196171026845e-06,kg P-Eq.
freshwater eutrophication,BEV,2024,maintenance,Small,0,3.0695574705385057e-06,kg P-Eq.
freshwater eutrophication,BEV,2024,EoL,Small,0,0.1867752179164178,kg P-Eq.
freshwater eutrophication,BEV,2024,road,Small,0,8.467812866507e-06,kg P-Eq.
freshwater eutrophication,BEV,2024,direct - non-exhaust,Small,0,0.0,kg P-Eq.
freshwater eutrophication,BEV,2024,direct - exhaust,Small,0,0.0,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,glider,Small,0,4.250511414668236,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,powertrain,Small,0,0.8769563523093735,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,energy storage,Small,0,0.03337238326828456,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,energy chain,Small,0,1.646356888153571e-06,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,maintenance,Small,0,2.421139065544755e-06,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,EoL,Small,0,0.03398476083513229,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,road,Small,0,7.997811118510233e-06,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,kg P-Eq.
freshwater eutrophication,ICEV-p,2024,direct - exhaust,Small,0,0.0,kg P-Eq.
ionising radiation,BEV,2024,glider,Small,0,746.4190329665262,kg U235-Eq.
ionising radiation,BEV,2024,powertrain,Small,0,204.4065906516412,kg U235-Eq.
ionising radiation,BEV,2024,energy storage,Small,0,605.9638180119337,kg U235-Eq.
ionising radiation,BEV,2024,energy chain,Small,0,0.0001483375738500679,kg U235-Eq.
ionising radiation,BEV,2024,maintenance,Small,0,0.0016693242013888594,kg U235-Eq.
ionising radiation,BEV,2024,EoL,Small,0,58.34207879523677,kg U235-Eq.
ionising radiation,BEV,2024,road,Small,0,0.006247796750484842,kg U235-Eq.
ionising radiation,BEV,2024,direct - non-exhaust,Small,0,0.0,kg U235-Eq.
ionising radiation,BEV,2024,direct - exhaust,Small,0,0.0,kg U235-Eq.
ionising radiation,ICEV-p,2024,glider,Small,0,630.9131660821397,kg U235-Eq.
ionising radiation,ICEV-p,2024,powertrain,Small,0,125.32054003891054,kg U235-Eq.
ionising radiation,ICEV-p,2024,energy storage,Small,0,7.262332327594586,kg U235-Eq.
ionising radiation,ICEV-p,2024,energy chain,Small,0,0.009995475638096296,kg U235-Eq.
ionising radiation,ICEV-p,2024,maintenance,Small,0,0.0013166933917457555,kg U235-Eq.
ionising radiation,ICEV-p,2024,EoL,Small,0,9.606888566479483,kg U235-Eq.
ionising radiation,ICEV-p,2024,road,Small,0,0.005915993268399528,kg U235-Eq.
ionising radiation,ICEV-p,2024,direct - non-exhaust,Small,0,0.0,kg U235-Eq.
ionising radiation,ICEV-p,2024,direct - exhaust,Small,0,0.0,kg U235-Eq.
marine eutrophication,BEV,2024,glider,Small,0,3.129403444803901,kg N-Eq.
marine eutrophication,BEV,2024,powertrain,Small,0,2.8002089062338436,kg N-Eq.
marine eutrophication,BEV,2024,energy storage,Small,0,1.8544605228794027,kg N-Eq.
marine eutrophication,BEV,2024,energy chain,Small,0,8.775208137521917e-07,kg N-Eq.
marine eutrophication,BEV,2024,maintenance,Small,0,2.058340408989697e-06,kg N-Eq.
marine eutrophication,BEV,2024,EoL,Small,0,1.2381030839554392,kg N-Eq.
marine eutrophication,BEV,2024,road,Small,0,6.45278438754147e-06,kg N-Eq.
marine eutrophication,BEV,2024,direct - non-exhaust,Small,0,6.558659297908764e-09,kg N-Eq.
marine eutrophication,BEV,2024,direct - exhaust,Small,0,0.0,kg N-Eq.
marine eutrophication,ICEV-p,2024,glider,Small,0,2.6725000877852527,kg N-Eq.
marine eutrophication,ICEV-p,2024,powertrain,Small,0,1.0385686223492487,kg N-Eq.
marine eutrophication,ICEV-p,2024,energy storage,Small,0,0.016579293407296154,kg N-Eq.
marine eutrophication,ICEV-p,2024,energy chain,Small,0,4.441024012575927e-06,kg N-Eq.
marine eutrophication,ICEV-p,2024,maintenance,Small,0,1.6235331712228998e-06,kg N-Eq.
marine eutrophication,ICEV-p,2024,EoL,Small,0,0.9344024302884615,kg N-Eq.
marine eutrophication,ICEV-p,2024,road,Small,0,5.705546764330203e-06,kg N-Eq.
marine eutrophication,ICEV-p,2024,direct - non-exhaust,Small,0,6.007905597754736e-09,kg N-Eq.
marine eutrophication,ICEV-p,2024,direct - exhaust,Small,0,2.6325173899337667e-06,kg N-Eq.
natural land transformation,BEV,2024,glider,Small,0,-1.3892596426248476,square meter
